GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,OBSERVER ORCID ID,SAMPLING EVENT IDENTIFIER,OBSERVATION TYPE,PROTOCOL NAME,PROTOCOL CODE,PROJECT NAMES,PROJECT IDENTIFIERS,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,CHECKLIST COMMENTS,SPECIES COMMENTS
,2025-09-04 10:11:50.045874,,,,bird_3,,,,,5,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.849109,-166.016685,2023-06-30,08:21:00,,,,Traveling,Traveling,,,,204.0,8.158,,5.0,1,,,1,0,,,
,2025-10-09 02:17:51.867937,,,,bird_3,,,,,3,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.704661,-165.771014,2023-06-22,16:00:00,,,,Traveling,Traveling,,,,73.0,3.404,,3.0,1,,,1,0,,,
,2025-10-09 02:16:38.30318,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.6307686,-164.3748558,2023-06-15,11:42:00,,,,Traveling,Traveling,,,,154.0,19.097,,10.0,1,,,1,0,,,
,2025-10-13 00:47:31.111059,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.4557741,-165.1001358,2023-06-20,20:43:00,,,,Stationary,Stationary,,,,30.0,,,5.0,1,,,1,0,,,
,2025-09-04 14:12:10.983015,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8468224,-166.0983662,2023-06-29,15:55:00,,,,Traveling,Traveling,,,,149.0,3.165,,5.0,1,,,1,0,,,
,2025-09-04 13:44:50.764138,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8468224,-166.0983662,2023-06-29,15:55:00,,,,Traveling,Traveling,,,,149.0,3.165,,5.0,1,,,1,0,,,
,2025-10-13 00:47:31.426605,,,,bird_3,,,,,X,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,65.2765291,-164.7896854,2023-06-25,09:30:00,,,,Traveling,Traveling,,,,120.0,2.414,,1.0,1,,,1,0,,,
,2025-10-28 05:31:13.325276,,,,bird_3,,,,,3,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.7183857,-165.9225655,2023-06-14,07:20:00,,,,Traveling,Traveling,,,,560.0,64.374,,12.0,1,,,1,0,,,
,2025-09-04 14:09:48.570909,,,,bird_3,,,,,8,NE,C4,NE,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8488996,-166.0146296,2023-06-22,01:20:00,,,,Traveling,Traveling,,,,250.0,9.888,,2.0,1,,,1,0,,,
,2025-05-21 22:04:14.363445,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8468224,-166.0983662,2023-06-25,08:51:00,,,,Traveling,Traveling,,,,41.0,0.9,,2.0,1,,,1,0,,,
,2025-10-28 05:32:02.317284,,,,bird_3,,,,,3,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.7183857,-165.9225655,2023-06-14,07:20:00,,,,Traveling,Traveling,,,,560.0,64.374,,12.0,1,,,1,0,,,
,2025-10-09 02:06:50.357171,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8502984,-166.1025042,2023-06-14,05:50:00,,,,Traveling,Traveling,,,,420.0,19.312,,1.0,1,,,1,0,,,
,2025-10-09 02:16:38.156696,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.6307686,-164.3748558,2023-06-15,11:42:00,,,,Traveling,Traveling,,,,154.0,19.097,,10.0,1,,,1,0,,,
,2025-10-13 00:47:58.75818,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.490727,-165.3564262,2023-06-15,07:00:00,,,,Incidental,Incidental,,,,,,,2.0,0,,,1,0,,,
,2025-05-21 22:04:58.240552,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.7183857,-165.9225655,2023-06-21,12:59:00,,,,Traveling,Traveling,,,,35.0,1.0,,5.0,1,,,1,0,,,
,2023-06-29 04:19:43.505284,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.759979,-165.903656,2023-06-26,16:22:00,,,,Incidental,Incidental,,,,,,,1.0,0,,,1,0,,,
,2025-10-13 00:47:31.168371,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.4557741,-165.1001358,2023-06-20,20:43:00,,,,Stationary,Stationary,,,,30.0,,,5.0,1,,,1,0,,,
,2025-09-10 01:48:01.192476,,,,bird_3,,,,,5,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8446793,-165.9085375,2023-06-27,10:17:00,,,,Traveling,Traveling,,,,165.0,7.34,,1.0,1,,,1,0,,,
,2025-10-09 02:16:38.30318,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.6307686,-164.3748558,2023-06-15,11:42:00,,,,Traveling,Traveling,,,,154.0,19.097,,10.0,1,,,1,0,,,
,2025-09-04 10:11:50.045874,,,,bird_3,,,,,4,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.9332393,-166.2056733,2023-06-23,10:18:00,,,,Traveling,Traveling,,,,176.0,5.552,,4.0,1,,,1,0,,,
,2024-10-24 16:54:12.251801,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.857844,-166.119461,2023-06-14,09:32:00,,,,Traveling,Traveling,,,,56.0,6.0,,8.0,1,,,1,0,,,
,2025-09-04 10:11:50.045874,,,,bird_3,,,,,5,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8219296,-166.0375786,2023-06-23,14:10:00,,,,Traveling,Traveling,,,,323.0,11.901,,3.0,1,,,1,0,,,
,2025-10-09 02:17:22.35231,,,,bird_3,,,,,3,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.6776565,-165.746119,2023-06-21,10:11:00,,,,Traveling,Traveling,,,,90.0,3.0,,5.0,1,,,1,0,,,
,2025-10-09 02:17:39.012222,,,,bird_3,,,,,3,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.6776565,-165.746119,2023-06-21,10:11:00,,,,Traveling,Traveling,,,,90.0,3.0,,5.0,1,,,1,0,,,
